Codigo	Descricao	Descrição Inglês
	CAPACETE DE PROTEÇÃO	
	CAPACETE DE PROTEÇÃO VERDE	
	CAPACETE FRONTAL CARN SIMPLES PLAST COR/VERDE	
11972152000	CAPÔ DE VIDRO	MS HOOD WITH GLASS
	CARNE CONSERVA DE DESFIAR 310G	
	CARNEIRA SIMPLES CAPACETE CAMPER	
	CARRINHO DE MÃO METAL CONST GALV PNEU MACIÇO	
11163080560	CART HEATER 220V 450W OD3/4''  "L6"	CART HEATER 220V 450W OD3/4''  "L6"
11952128000	CART HEATER 220V 500W OD3/4" L7''	CART HEATER 220V 500W OD3/4" L7''
11952204000	CART HEATER 230V 2KW D5/8'' L9-1/4	CART HEATER 230V 2KW D5/8'' L9-1/4
11176026400	CART. HEATER 230V 500W D12.7 L228	CART. HEATER 230V 500W D12.7 L228
11147254830	CARTÃO CBM ISOLADO EG	CBM CARD ISOLATED EG 
11932002000	CARTÃO DE SENSOR MAGNETICO DE DUPLA COR	DOUBLE CLOR & FOUR MAGNETIC SENSOR
11401747000	CARTUCHO DE MEDIÇÃO	METERING CARTRINDGE WITH FITTING
	CARTUCHO PARA FILTRO FIT-200	
	CATALIZADOR EPOXI 900ML	
	CATALIZADOR LATA 5LT	
	CATRACA REVERSIVEL 1/2	
11147250329	CBM CARD FOR AW	CBM CARD FOR AW
11147254830	CBM CARD ISOLATED EG	
11147250091	CÉLULA DE CARGA	LOAD CELL 150KG WITH CONNECTOR
11156808810	CER. BAND HEATER 240V 1,5KW ID128 W65	CER. BAND HEATER 240V 1,5KW ID128 W65
11952034000	CER. BAND HEATER 240V 1,6KW ID118 W110	CER. BAND HEATER 240V 1,6KW ID118 W110
11155335400	CER. BAND HEATER 240V 2KW ID200 W85	CER. BAND HEATER 240V 2KW ID200 W85
11952035000	CER. BAND HEATER 240V 900W ID225 W35	CER. BAND HEATER 240V 900W ID225 W35
	CERAMIC FINGER	
12470070006	CERAMIC HOOK GUIDE	CERAMIC HOOK GUIDE
	CH FIM CURSOR FM 8008	
5810	CHAPA 9-6	
	CHAPA FF SOB MED 20(0,90MM) C/1,20M(7,6)	
	CHAPA FQ SOB MED 3/16" (4,76MM) C/1,50M (40.0)	
956	CHAPA GUIA 56316C	
	CHAPA RET LATAO 0.46X1200X600	
	CHAPA ZC SOB MED 20 (0,95MM) C/1,20M (7,6)	
	CHAPA ZC SOB MED 20(0,95) C/1,20M(7,6)	
JYF-E30-15	CHAPINHA 4X80	SELVEDGE PIN
JYF-E30-16	CHAPINHA 5C	SELVEDGE PIN
	CHAVE 18"	
	CHAVE AJUSTAVEL/INGLE 10	
	CHAVE AJUSTAVEL/INGLE 12	
	CHAVE ALLEN T 2,5MM	
	CHAVE BOCA 10MM	
	CHAVE CANHÃO 13/12	
	CHAVE COMBINADA 10 A 11	
	CHAVE COMBINADA 12 A 13	
	CHAVE COMBINADA 1622MM	
	CHAVE COMBINADA 169MM	
	CHAVE COMBINADA 16MM	
	CHAVE CONTACTORA LC1K0610M7 6A	
	CHAVE DE BOCA 14MM	
	CHAVE DE ENCAIXE 17MM	
	CHAVE DE FENDA	
	CHAVE DE FENDA (B) 1/8X3 AC 954 VONDER	
	CHAVE DE FENDA (L) 1/4X6 AC 954 VONDER	
	CHAVE DE FENDA 3/16 X 4 - 4X100	
	CHAVE DE FENDA 8X150MM	
17010276	CHAVE DE TEMPERATURA	TEMPERATURE SWITCH
	CHAVE ESTATICA 50A	
	CHAVE FENDA 5/16" X 6.0/0 150-5/16X6"	
	CHAVE FIM DE CURSO LIMIT SWITCH	
	CHAVE FIXA 10X11MM	
	CHAVE FIXA 12X13MM	
	CHAVE HEXAGONAL (ALLEN) LONGA 42L- 6.0 MM	
	CHAVE HEXAGONAL ALLEN T - 5MM	
	CHAVE Nº10	
	CHAVE PHILIPS (G) 1/4X6 AC 954 VONDER	
	CHAVE PHILIPS (G) 1/8X3 AC 954 VONDER	
	CHAVE PHILIPS 1/4" X 14.0/0" 160-1/4X14"	
	CHAVE PHILIPS CRUZADA 1/4" X 12"	
	CHAVE SECCIONADORA	
	CHAVE SELETORA	
11401649000	CHONCHOID WHEEL ASSEMBLY R-6	
11401505000	CHONCHOID WHEEL ASSY (NALY)	
11412983000	CHONCHOID WHEEL NAYL	CHONCHOID WHEEL NAYL
11401650000	CHONCHOID WHEEL R-6	
	CHUMBADOR 1/2X4.1/2" C/PF ZINCADO	
	CHUMBADOR PBA 5/8X4.1/2" C/PORA E ARRUELA	
	CILINDRO ATUADOR D5BC-40	
	CILINDRO DE FREIO LD/LE	
	CILINDRO DE RODA	
	CILINDRO FREIO RODA	
	CILINDRO MESTRE	
	CILINDRO PNEUMATICO 32X100 D/AÇO MAGNETICO	
	CILINDRO PNEUMATICO D/AC 32X100	
	CILINDRO RODA	
	CIMENTADOS E PISOS VERBRAS BRANCO 3,6L	
	CIMENTO POTY 42,5KG	
11158450700	CINTA DE SEGURANÇA (LIÇO) INFERIOR	
11158550600	CINTA DE SEGURANÇA (LIÇO) INFERIOR   21	LOWER HEDDLE BELT (42W)
11158450700	CINTA DE SEGURANÇA (LIÇO) INFERIOR 20	LOWER HEDDLE BELT (40W) - C
11158550600	CINTA DE SEGURANÇA (LIÇO) INFERIOR 21	LOWER HEDDLE BELT (42W)
11158550500	CINTA DE SEGURANÇA (LIÇO) SUPERIOR 21	UPPER HEDDLE BELT-D (42W)
5003839	CINTA ERGONOMICA TAM "G"	
5003838	CINTA ERGONOMICA TAM "M"	
5003837	CINTA ERGONOMICA TAM "P"	
	CINTA ERGONOMICA TAM G	
	CINTA ERGONOMICA TAM M	
	CINTA ERGONOMICA TAM P	
11130551810	CINTO DE SEGURANÇA (LIÇO)	HEDDLE BELT-EX
11158450600	CINTO DE SEGURANÇA(LIÇO) SUPERIOR 20	UPPER HEDLDLE BELT (40W)-C
11195200200	CINTO FILTRO (MASH 100) W 150MMX10M	FILTER BELT (MASH 100) W 150MMX10M
12470310269	CINTO REDONDO	ROUD BELT SR (OPTI BELT) DIA8X1220 L
5000976	CINTURÃO DE PARAQUEDISTA	
12350410060	CIRCLIP E6	
12350410080	CIRCLIP E8	CIRCLIP E8
11408092000	CLAMP SHUTTLE GUIDE-X	CLAMP SHUTTLE GUIDE-X
11408090000	CLAMP WARP GUIDE - XR	
11169024010	CLIPER ARM 	CLIPER ARM 
11169903100	CLIPPER BLOCK ASSEMBLY	CLIPPER BLOCK ASSEMBLY
	CLIPS	
	CLIPS 10/0 GALV	
	CLIPS 10/0 METALICO C/100 TOP	
	CLIPS 2/0 METALICO C/100 TOP	
	CLIPS 3/0 GALV.	
	CLIPS 3/0 METALICO C/100 TOP	
5003590	CLIPS 4/0 GALV.	
	CLIPS 4/0 METALICO C/100 TOP	
	COBERTURA COLUNA INFERIOR	
11408392000	COBERTURA CONTRA POEIRA	DUST COVER
	COBERTURA PAINEL SUPERIOR	
	COENXÃO RETA MACHO R 1/4X8	
	COLA	
5001295	COLA BOND	
5003822	COLA DE CONTATO 2,8KG	
	COLA INSTANTANEA 20G TEK BOND	
	COLA INSTANTANEA 20G THREE BOND	
	COLA P/ARTESANATO 20GRS NR 793 MULTIUSO TEK BOND	
	COLA P/ARTESANATO 20GRS TEK BOND	
	COLETE BLUSÃO REFLETIVO POLIESTER SEM BOLSO	
	COLETE REFLETIVIE	
	COLETE REFLETIVO G	
	COLETE REFLETIVO M	
	COLETE REFLETIVO XG	
14409991004	COLOR SENSOR SH CABLE ANGLED CONNECTOR 1M	COLOR SENSOR SH CABLE ANGLED CONNECTOR 1M
14213300910	COLOUR HMI TFT TCH SCR DSP 7" GOT SIMPLE	COLOUR HMI TFT TCH SCR DSP 7" GOT SIMPLE
11199000153	COM KIT OLD RELAY 3PDT 10A & SOCKET WL	COM KIT OLD RELAY 3PDT 10A & SOCKET WL
	COMPENSADOR COMPL DIAM 2,1	
	COMPENSADOR PRETO DO BAG	
11403958000	COMPENSADOR VERDE DO BAG	
11150190300	COMPENSATION SPRING	COMPENSATION SPRING
14769900000	COMPOSTO DISSIPADOR DE CALOR	HEAT SINK COMPOUND
11406441000	COMPRESSION SPRING	
	COMPRESSOR AR FREIO MOTOR MONOCILINDRO	
	CONDUITE	
	CONDUITE 3/4"	
	CONDUITE 60MM	
	CONDUITE AMARELO DN 25MM 3/4"	
	CONDUITE CORR PVC 25MM 3/4 AM C/50MTS	
	CONDUITE PRETO	
	CONDULETE MULTIPLO 3/4" SEM TAMPA	
	CONDULETE MULTIPLO XPW 3/4 S/PINTURA	
5004068	CONE 75CM	
	CONE SINALIZ RIG 75CM LAR/BR	
	CONECTOR - 3-18	
	CONECTOR - 4-7B	
	CONECTOR 3-18	
	CONECTOR BARRA GK8 - 3-5	
5003953	CONECTOR BARRA SINDAL  2,5MM	CONECTOR BARRA SINDAL  2,5MM
5003948	CONECTOR BARRA SINDAL  4,00MM	CONECTOR BARRA SINDAL  4,00MM
	CONECTOR BARRA SINDAL 16,00MM	
5003953	CONECTOR BARRA SINDAL 2,5MM	
5003948	CONECTOR BARRA SINDAL 4,00MM	
	CONECTOR BARRA SINDAL 6,00MM	
5002820	CONECTOR BOX RETO 1 1/2	
5002792	CONECTOR BOX RETO 1"	
5003914	CONECTOR BOX RETO 3/4	
	CONECTOR CERÂMICO 10MM	
	CONECTOR DE PORCELANA BIPOLAR 10MM	
	CONECTOR MACHO 4XM5 INSTANT	
	CONECTOR MACHO 6XM5 INSTANT	
14720130240	CONECTOR PLUG MACHO RET 5P/PIN 24A	CONNECTOR PLUG-MALE RECT 5P/PIN 24A
	CONECTOR PORCELANA BIPOLAR 10MM	
5003953	CONECTOR SINDAL BARRA 2,5MM	
14721110249	CONECTOR SOQUETE FÊMEA RET 3P/PIN 24A	CONNECTOR SOCKET-FEMALE RECT 3P/PIN 24A
	CONEXÃO	
	CONEXÃO 3X12	
	CONEXÃO 6X6 RETA	
	CONEXÃO COTOVELO 1/4X4	
	CONEXÃO COTOVELO 6X8	
	CONEXÃO COTOVELO G.1/2X12	
	CONEXÃO COTOVELO G.1/4X10	
	CONEXÃO COTOVELO G.1/4X6	
	CONEXÃO COTOVELO G.1/4X8	
	CONEXÃO COTOVELO G.1/8X6	
	CONEXÃO COTOVELO TUBO 6MM ROSCA 1/4 BSP	
	CONEXÃO DA BARRA DE ATERRAMENTO	
	CONEXÃO NIPLE P/MANG DE ALTA PRESSÃO 3/4X1	
	CONEXÃO RETA G.1/2X12	
	CONEXÃO RETA G.1/4X8	
	CONEXÃO RETA G.1/8X10	
	CONEXÃO RETA G.1/8X12	
	CONEXÃO RETA G.1/8X4	
5003811	CONEXÃO RETA G.1/8X6	
	CONEXÃO RETA G.1/8X8	
	CONEXÃO RETA G1/8X8	
	CONEXÃO RETA MACHO R 1/2X8	
	CONEXÃO RETA MACHO R 1/4X12	
	CONEXÃO T	
	CONEXÃO UNIÃO 10X8	
	CONEXÃO UNIÃO REDUÇÃO 10X8	
	CONJ MANIFLOD SEL MALETA R410/22/134/404 MANG 90CM	
11401391010	CONJ. DE ALAVANCA OSCILANTE	SWINGING LEVER ASSEMBLY (NEW)
12470310025	CONJ.ALAVANCA OSCILANTE	
MK - 0125	CONJUNTO DA MOLA DO ROLETE DE PRESSÃO	PRESSURE ROLLER SPRING ASSEMBLY
11411125000	CONJUNTO DE ALAVANCA	SWINGING LEVER ASSY
11169909500	CONJUNTO DE BLOCO CLIPPER	CLIPPER BLOCK ASSY
11401308010	CONJUNTO DE COMPENSADOR DIA 2.1	COMPENSATOR ASSY DIA 2.1
11164018500	CONJUNTO DE FLANGE DE BOBINA	BOBBIN FLANGE ASSY.-P
12470150803	CONJUNTO DE PÉ DE PRESSÃO	PRESSURE FOOT ASSY 772159 A
11401649000	CONJUNTO DE RODA CHONCHOID R-6	CHONCHOID WHEEL ASSEMBLY R-6
11401651000	CONJUNTO DE RODA DA BATENTE R-6	STOPPER WHEEL ASSY R-6
11158964600	CONJUNTO DE RODA DE TRANSPORTE	SHUTTLE WHEEL ASSEMBLY
11158955600	CONJUNTO DE ROLO CAM - FT	CAM ROLLER ASSY - FT
J - 0029	CONJUNTO DE TENSOR	TENSIONER ASSEMBLY
11169904700	CONJUNTO DO CORTADOR DE LINHA	THREAD CUTTER ASSY
11301122000	CONJUNTO DO ESTATOR 22 W COM CABO CRIMPADO DE 450 MM	STATOR ASSY 22W WITH CRIMPING 450MM
11401039000	CONJUNTO DO ÍMÃ DO SUPORTE DO BRAÇO	BOOM HOLDER MAGNET ASSLY
11401039000	CONJUNTO MAGNÉTICO DE LANÇA	BOOM MAGNET ASSY
11130508010	CONNECTING PLATE	
11131550720	CONNECTING STRIP	CONNECTING STRIP
11131550720	CONNENTING STRIP	
14067864900	CONTACT BLOCH 1 NO 	CONTACT BLOCH 1 NO 
	CONTACTORA	
	CONTACTORA 25A 220V	
	CONTACTORA 6A - 220V	
	CONTACTORA 6A 220V 2CV INA 56/60HZ	
	CONTATORA CWM 25A	
	CONTATORA TRIPOLAR 25A 220V 36/48/60K	
11406360010	CONTRA PESO	COUNTER WLEGHT
14073140000	COOLING FAN 220-240VAC 50HZ 150X55MM	COOLING FAN 220-240VAC 50HZ 150X55MM
14073190000	COOLING FAN 220-240VAC 50HZ 250MM	COOLING FAN 220-240VAC 50HZ 250MM
	COPO PLAST DESCARTAVEL 180ML	
	COPO PLAST DESCARTAVEL 180ML PCT C/100	
	COROA DENTADA 35 DENTES	
11158427210	CORPO DE VAI-VEM	SHUTTLE BODY (S)-D
	CORREIA	
12490106009	CORREIA 1040 H 8M	
12490100005	CORREIA 140 XL050	
12490100006	CORREIA 150 XL050	
12490100011	CORREIA 200 XL 050	
	CORREIA 255L	
12490100003	CORREIA 260 XL 050	
12490106017	CORREIA 2600 H 8M	
12490172002	CORREIA 3360 14 MGT 75	
	CORREIA 3L 380	
12490106011	CORREIA 640 H 8M	
12490106012	CORREIA 800 H 8M	
12490102009	CORREIA 850 H 175	
11155071600	CORREIA AMARELA	
	CORREIA CORRUGADA AMARELO 50MM	
12470310052	CORREIA CORRUGADA EM PV	RUBBERISED EMERY CIOTH 50WIDE
	CORREIA CORRUGADO	
12490102007	CORREIA DE DISTRIBUIÇÃO 240H 075	
11195060600	CORREIA DE FILTRO 152/24 REVRS ATÉ 150MMX10M	FILTER BELT 152/24 REVRS THILLD 150MMX10M
11195060700	CORREIA DE FILTRO 72/15 REVRS ATÉ 150MMX10M	FILTER BELT 72/15 REVRS THILLD 150MMX10M
03.0410.02.187	CORREIA DENTADA 187L075	TOOTHED BELT 187L075
03.0410.02.240	CORREIA DENTADA 240L075	TOOTHED BELT 240L075
03.0410.02.255	CORREIA DENTADA 255L075	TOOTHED BELT 255L075
	CORREIA DENTADA 40	
12490106013	CORREIA DENTADA 880H 8	
	CORREIA DENTADA AX40	
	CORREIA DENTADA MOTOR	
12490128006	CORREIA DENTADA XPA 3.000	
12490108012	CORREIA GT 2 2600 8MLT 50	
	CORREIA IND.CORRUGADA EM PV - 50 METROS	
16704449110	CORREIA LOREX 955X Nº19	
	CORREIA MOTOR 540 L	
11155597300	CORREIA PLANA 4460X120	HEATER OF DRAW ROLL SHELL DIA 127X150
12490114002	CORREIA POLY V 20 PL 3696	
12490102008	CORREIA TIMING BELT 420 H 150	
12490132006	CORREIA V AX25	
12490140005	CORREIA V XPC 2800 COMBINADA (1 CONJ DE 8 NOS)	V BELT XPC 2800 MATCHED ( 1 SET OF 8 NOS )
	CORREIA VERDE	
5003336	CORRENTE ASA TRASMISSÃO ANSI 35/1	
	CORRENTE RC 08B2 COMBAT 68	
	CORRENTE SIMPLES RC 08B1 COMBAT 68	
	CORRENTE TRANSMISSÃO DIN 08 B/1	
	CORRENTE TRANSMISSÃO DIN 08 B/2	
16	CORRETIVO	
	CORRETIVO CANETA 8ML PONTA METALICA	
18060001	CORTE ALCA 1.0TN 100CM	
18070001	CORTE CADARCO 15MM 100CM	
18070002	CORTE CADARCO 15MM 150CM	
18010005	CORTE CORPO TUB 130X360CM 160GR	
18020004	CORTE TAMPAO INFERIOR 100X100CM 160GR GAB34	
18020002	CORTE TAMPAO SUPERIOR 100X100CM 63GR GAB34	
18030002	CORTE VALVULA 083X130CM 63GR	
	COTOVELO DE 2" GALV	
	COTOVELO UNIÃO INSTANT 10MM	
	COTOVELO UNIÃO INSTANT 12MM	
	COTOVELO UNIÃO INSTANT 6MM	
	COTOVELO UNIÃO INSTANT 8MM	
11130850700	COVER - PUSHER ROLLER	
11130836410	COVER DIA 30X230 WITH SIDE FLANG	COVER DIA 30X230 WITH SIDE FLANG
	COXIM DIANTEIRO TRASEIRA SUSPENSÃO MOTOR	
	COXIM TRASEIRO SUSPENSÃO CAMBIO	
14261300021	CPU INT CARD (X20-IF-1030)	CPU INT CARD (X20-IF-1030)
11405071020	CREEL ROD HOLDER	CREEL ROD HOLDER
	CREME DE LEITE 200G	
	CREME DE LEITE PIRACANJUBA 200G	
	CRUZETA CARDAN TRANSMISSÃO	
	CUBA EMBUTIR OVAL 495X330MM BRANCO	
	CUBO DE RODA	
	CURVA 90º SD 32MM	
	CURVA FEMEA FG 90º 2" TUPY	
	CURVA FEMEA FG 90º 3 TUPY	
	CURVA FEMEA FG 90º 4 " TUPY	
	CURVA P/ELETROCALHA VERT. EXT. LISA/PERF 400X100M	
	CURVA PVC SD 32MMX90G	
	CURVA PVC SD 90º 32MM	
11422478030	CUTTING BASE / 20-04-70X3	CUTTING BASE / 20-04-70X3
11147251681	CWM CONTROLLER LC 16	CWM CONTROLLER LC 16
11147252530	DC CABLE EG HEAD 23	DC CABLE EG HEAD 23
11131511010	DEFLECTING PULLEY	
US-51105N	DENTE PARA MAQUINA DE SACARIA	
	DESEMPENADEIRA METALICA	
	DESENGRAXANTE 20LTS	
	DESENGRAXANTE SPRAY CARBO	
5002415	DESENGRIPANTE SPRAY - WD 40	
5002415	DESENGRIPANTE WD-40	
5003698	DESINFETANTE 500ML	
	DESINFETANTE LAVANDA 2L	
	DESINFETANTE LAVANDA QUALYBRILL 2L	
11401348000	DESLIZAMENTO DE TRANSPORTE	SHUTTLE SKID - D (L+R)
5001216	DETERGENTE NEUTRO	
	DETERGENTE NEUTRO FC 500ML	
14270080420	DIG. I/O MIX MOD SI/SO 0,5A 8L 40 CH (X20-DM-9324)	DIG. I/O MIX MOD SI/SO 0,5A 8l 40 CH (X20-DM-9324)
14230301220	DIG. I/P MOD 24VDC 0.5A SI 1W 12CH (X20-DO-9322)	DIG. I/P MOD 24VDC 0.5A SI 1W 12CH (X20-DO-9322)
14224200220	DIG. IN/COUN MOD 20-50KHZ SI 3W 02CH (X20-DI-2377)	DIG. IN/COUN MOD 20-50KHZ SI 3W 02CH (X20-DI-2377)
14220001220	DIG.I/P MOD 24VDC 0,5A SI 1W 12CH (X20-DI-9371)	DIG.I/P MOD 24VDC 0,5A SI 1W 12CH (X20-DI-9371)
	DIN 032X1,20	
	DISCO CORTE 14"X1"X3,5MM	
	DISCO CORTE 7"X7/8"X1,60 INOX 80	
	DISCO CORTE INOX 115MMX1MM	
5002854	DISCO DE CORTE "4"	
5003716	DISCO DE CORTE "7"	
	DISCO DE CORTE 14"	
5003597	DISCO DE CORTE 14X3,2X25,4	
5002854	DISCO DE CORTE 4'	
5002854	DISCO DE CORTE 4 1/2 X 3/64 X 7/8	
5002854	DISCO DE CORTE 4 1/2 X 3/64 X 7/8 	DISCO DE CORTE 4 1/2 X 3/64 X 7/8 
5002854	DISCO DE CORTE 4"	
5003716	DISCO DE CORTE 7'	
5003716	DISCO DE CORTE 7 X 1/16 X 7/8	
	DISCO DE CORTE DIAMANTADO	
5002435	DISCO DE DESBASTE 4"	
5002156	DISCO DE DESBASTE 7"	
5002156	DISCO DE DESBASTE 7" 	DISCO DE DESBASTE 7" 
JYF-F30-03	DISCO DE ESCALA	SCALE DISC
5002390	DISCO DE LIXA FLAP 4"	
5002390	DISCO DE LIXA FLAP 4.1/2 (115MM) 5.001.285	
5002391	DISCO DE LIXA FLAP 7" (180MM)	
	DISCO DIAMANTADO TURBO 105X20MM	
5002390	DISCO FLAP 4"	
	DISCO FLAP FIBRA VID CONIC 115X22,23 80G	
	DISCO P/MADEIRA 7"	
	DISCO SERRA CIRCULAR 110MM 24 DENTES	
	DISJUNTO TERMOMAGNETICO 20A	
	DISJUNTOR 80A MONOFÁSICO	
	DISJUNTOR BIFASE 20A	
	DISJUNTOR C20A TRIFASICO	
	DISJUNTOR C25A TRIFASICO	
	DISJUNTOR C32A TRIFASICO	
	DISJUNTOR C63A BIPOLAR	
	DISJUNTOR C63A TRIFÁSICO	
	DISJUNTOR MONOFASE 20A	
	DISJUNTOR NOFUSE 125,0A 70/50KA 220/690V DL100-X	
	DISJUNTOR NOFUSE 150,0A 70/50KA 220/690V DL250-X	
	DISJUNTOR NOFUSE 800A ASGARD	
	DISJUNTOR TERMOMAGNETICO TRIFASE	
	DISJUNTOR TRIFASE 20A	
	DISJUNTOR TRIPOLAR 25A	
	DISJUNTOR. TRIF. 32A © EASY9 5KA	
11130812160	DISK SPRING LOAD 16 KG	DISK SPRING LOAD 16 KG
	DISPENSER P/PAPEL HIG ROLÃO BRANCO	
	DISPENSER P/SABONETE/ALCOOL 800ML	
	DISPENSER P/SABONETE/ALCOOL MAZZO 800ML	
11422696000	DISTRIBUIDOR AÉREO	AIR DISTRIBUTER
	DISTRIBUIDOR IGNIÇÃO MOTOR MAZDA	
	DOB 850X 3 1/2 BZ CART / 03	
	DOB.P/PORTA FG 11/2 C .	
	DOBRADIÇA	
	DOBRADIÇA CILINDRICA 5/8 (GONZO)	
	DOBRADIÇA CILINDRICA 7/8 (GONZO)	
	DOBRADIÇA DA PORTA	
12460030079	DOUBLE ADHESINE TAPE 37,5MM WIDE	DOUBLE ADHESINE TAPE 37,5MM WIDE
12330706030	DOWEL PIN DIA 6X30	DOWEL PIN DIA 6X30
12330702008	DOWEL PIN H&G M6 DIA 2X8 BLK	
12330705032	DOWEL PIN H&GM6 DIA5X32 BLK	
12470310025	DROP OILER NO.6 R1/8"	
11401767000	DROP WIRE WITH BEAD (WIRE DIA4)	
11401767000	DRUP WIRE BEAD WIRE 4	DRUP WIRE BEAD WIRE 4
	DUPLA FACE VERDE	
	DUREPOXI 50GR LOCTITE HENKEL	
14521713500	DYN.BRK.RES. 130HM 500W FOR SERVO DRIVE	DYN.BRK.RES. 130HM 500W FOR SERVO DRIVE
11407700030	ECCENTRIC AXLE-R6(61)	
11131416300	EIXO	AXLE
JYS-0527	EIXO DE ENCAIXE	
JYF-G30-38	EIXO DE ENCAIXE DE ENGRENAGEM DE BATIDA	AXLE
	EIXO DO ENCAIXE DA ENGRENAGEM DE BATIDA	
	EIXO DO GUIA FIO DA TRAMA 10X620MM	
NL-52942AA	EIXO DO LOOPER - 10.4 CM COMPRIMENTO -	
NL-52942AA	EIXO DO LOOPER - 10.4 CM COMPRIMENTO - 	
11407700030	EIXO EXCÊNTRICO	ECCENTRIC AXLE-R6(61)
11406089010	EIXO FRONTAL	AXLE (FRONT)
902-0009	ELEMENTO FILTRANTE P/ÁGUA REFIL CARBON BLOCK 9.3/4"	WATER FILTER CARTRIDGE - CARBON BLOCK 9-3/4 IN
EFP 0006	ELEMENTO FILTRANTE PP 9.3/4 - 56 MICRAS	PP FILTER ELEMENT 9-3/4 IN - 56 MICRONS
11400900259	ELEO BOM FOR COLOR SENSOR CONECTOR	ELEO BOM FOR COLOR SENSOR CONECTOR
	ELETROCALHA PERF. 400X100X3M	
	ELETRODO AÇO INOX 2,50MM	
	ELETRODO AÇO INOX 2,50MM (2KG)	
	ELETRODO AÇO INOX E316 OK 6330 2,5	
	ELETRODO CONARCO A 13 2,50 45-90A 5KG	
	ELETRODO FERRO FUNDIDO 22-23 3,25MM	
	ELETRODO FERRO FUNDIDO 3,25MMX300MM	
	ELETRODO FUNDIDO	
	ELETRODO GSP 3,25MM 6013	
	ELETRODO INOX	
	ELETRODO INOX 6330	
	ELETRODO OK SERRALHEIRO 3,25MM 6013 85-160A-05KG	
5002856	ELETRODO OK WELD 2,5MM 6013	
	ELETRODO OK WELD 2,5MMX300 6330 KG	
	ELETRODO OK WELD 2,5MMX300 6330 KG INOX	
5002856	ELETRODO OK WELD 2,5MMX350 6013 5KG	ELETRODO OK WELD 2,5MMX350 6013 5KG
5002856	ELETRODO OK WELD 2,5MMX350 6013 KG	
5003562	ELETRODO OK WELD 3,25 6013	
5003562	ELETRODO OK WELD 3,25 6013 5KG	ELETRODO OK WELD 3,25 6013 5KG
5003562	ELETRODO OK WELD 3,25 6013 KG	
	ELETRODO WELD WEST 2,50X350MM 6013 5KG	
	ELETRODO WELD WEST 3,26X350MM 6013 5KG	
	EMENDA CORRENTE 08B2	
	EMENDA CORRENTE SIMPLES 08B1	
	EMENDA DE CORRENTE	
	EMENDA DE CORRENTE 01	
	EMENDA DE CORRENTE B02	
	EMENDA DE CORRENTE B-1	
	EMENDA P/CORRENTE 08B2 COMBAT 248	
	EMENDA P/CORRENTE 08B2 COMBAT 68	
	EMENDA P/CORRENTE SIMPLES 08B1 COMBAT 248	
	EMENDA P/CORRENTE SIMPLES 08B1 COMBAT 68	
	EMENDA P/ELETROCALHA U 400X100M	
	EMENDA RETA 1/2X1/2 LATÃO	
	EMISSÕES DE AÇO 3/4	
17030002	EMPILHADEIRA HYSTER FT/XM	
17030008	EMPILHADEIRA YALE 50 VX	
	ENCODER	
	ENCODER C/EIXO 1000P	
14450108000	ENCODER OTICO 2 CANAIS 100PPR	2 CH OPTICAL ENCODER 100 PPR 8MM
	ENCONDER	
12495100620	ENDLESS FLAT BELT GG 54A 150X4600MM	ENDLESS FLAT BELT GG 54A 150X4600MM
12495100060	ENDLESS FLAT BELT GG 54A 190X9550MM	ENDLESS FLAT BELT GG 54A 190X9550MM
	ENGATE FLEXIVEL 40CM	
11131323020	ENGRENAGEM	GEAR 53 TEETH 
	ENGRENAGEM 13 DENTES	
	ENGRENAGEM 20 DENT	
	ENGRENAGEM 22 DENT	
	ENGRENAGEM 23 DENT	
	ENGRENAGEM 27 DENT	
	ENGRENAGEM 27 Z	
	ENGRENAGEM 35 DENTES	
	ENGRENAGEM 37 DENTES	
	ENGRENAGEM 37 DT	
	ENGRENAGEM 41 DENTES	
11147042500	ENGRENAGEM 60 DENT	60-TOOTH GEAR
JYS-0723	ENGRENAGEM BATIDA 23 DENTE	
JYS-0723	ENGRENAGEM BATIDA 23 Z	ENGRENAGEM BATIDA 23 Z
	ENGRENAGEM BATIDA 40 DENT	
	ENGRENAGEM DA CATRACA	
JYF-G30-17	ENGRENAGEM DA CATRACA 56 DENT	56-TOOTH RATCHET GEAR
JYF-G30-17-1	ENGRENAGEM DA CATRACA 70 DENT	70-TOOTH RATCHET GEAR
	ENGRENAGEM DE ALIMENTAÇÃO 59 Z	
	ENGRENAGEM DE BATIDA 21 Z	
	ENGRENAGEM DE BATIDA 23 Z	
	ENGRENAGEM DE BATIDA 40 Z	
GB70-86	ENGRENAGEM DO PUXADOR 21 DENT	21-TOOTH PULLER GEAR
	ENGRENAGEM DO PUXADOR 21 Z	
	ENGRENAGEM DO ROLETE PUXADOR	
	ENGRENAGEM DO ROLETE PUXADOR COM CHAVETA	
	ENGRENAGEM DO VOLANTE	
JYF-G30-41	ENGRENAGEM DUPLA 14-25 DENT	DOUBLE GEAR 14-25 TEETH
	ENGRENAGEM DUPLA DE ALIMENTAÇÃO 26X50 Z	
11127044040	ENGRENAGEM ELETRONICA DO CABO IDT	IDT CABLE ELETRONIC GEARING
	ENGRENAGEM INTERMEDIARIA 44 Z - 025 MM	
	ENGRENAGEM INTERMEDIARIA DO ROLETE PUXADOR 30 Z	
	ENGRENAGEM SINCRONIZADA 15 Z	
	ENGRENAGEM SINCRONIZADA 25Z	
