Codigo	Descricao	Descrição Inglês
5001437	ÁGUA SANITÁRIA 5LT	
	AGUA SANITARIA BRANCA ECONOMICA 5LT	
	ÁGUA SANITÁRIA QUALYBRILL 5L	
	AGUARRAZ 5LT	
	AGULGA 80800C 80 -29/300	
	AGULHA 80800C 80 -29/300	
13.135.80.120	AGULHA BARBUDA MEDIDOR 10	BEARDED NEEDLE GAUGE 10
	AGULHA CABEÇOTE 250/27	
79119	AGULHA DE LINGUETA	NEEDLE
	AGULHA DO CABEÇOTE	
	AGULHA DRX2-28 ORGAN (JAP)	
13.083.01.000	AGULHA FALSA DE FORMA CURTA	SHORT SHAPE FALSE NEEDLE GG 10
13.091.01.000	AGULHA FALSA DE FORMA LONGO GG10	LONG SHAPED FALSE NEEDLE GG 10
	AGULHA GB-UY143GS-27/250 R (ORI) PONTA NORMAL	
	AGULHA GB-UY143GS-27/250 R PONTA NORMAL	
12606001020	AIR REGULATOR -G1/4-4BR-JN	
12606051040	AIR REGULATOR W/NRV-G1/4 - 10BR-JN	AIR REGULATOR W/NRV-G1/4 - 10BR-JN
11131538120	AJUSTING RING	AJUSTING RING
11150206300	AL CAST IN HEATER 1800W/230V	AL CAST IN HEATER 1800W/230V
11401391010	ALAVANCA	
NL-56342E	ALAVANCA - 	
233	ALAVANCA 51183B	
JYF-G30-29	ALAVANCA DA AGULHA	NEEDLE LEVER
JYF-G30-29	ALAVANCA DA AGULHA  	ALAVANCA DA AGULHA  
JYF-G30-30-17-1	ALAVANCA DA AGULHA DA TRAMA	WEFT NEEDLE LEVER
11404895000	ALAVANCA DE COMPENSAÇÃO DE TRAMA	WEFT COMPENSATION LEVER (MAGNET) R2
11408152000	ALAVANCA DE JÓQUEI	JOCKEY LEVER
	ALAVANCA DO TRAMADOR	
JYF-E110-05	ALAVANCA DO TRAMADOR (JYF-10-4X80)	WEFT NEEDLE LEVER-CHOOSE
	ALAVANCA GK8 - 3-8	
11158330930	ALAVANCA JOCKEY	JOCKEY LEVER
5001421	ALCOOL ANTISSEPTICO 70% 5LT	
	ALCOOL LIQUIDO 70% 5L	
	ALCOOL LIQUIDO 70% 5LT	
	ALICATE AMPERIMETRO DIGITAL ET-3100 200A	
	ALICATE AUT AJUST DESENC CRIMPADOR DE FIO	
	ALICATE DE BICO	
	ALICATE DESENCAPADOR DE FIO AUTOMATICO	
	ALICATE TIPO TELEFONE MEIA CANA RETO 8/200MM	
	ALICATE UNIV 8.0/0"	
	ALICATE UNIVERSAL 8	
	ALICATE UNIVERSAL 8"	
17010315	ALMOFADA DE BORRACHA	RUBBER PAD
11141102600	ALMOFADA DE TENSÃO	TENSION PAS WITH BUSH - P
	ALMOTOLIA P/ÓLEO	
11157038620	ALOJAMENTO DO SINTONIZADOR	TUNER HOUSING 
	ALTERNADOR VOLTAGEM 12V MAZDA	
14281100422	ANA I/P TEMP MOD NON ISO CH PT 100 4CH (X20AT4222)	
11147150017	ANALOG SENSOR WITH MOLEX CONN	
12362104100	ANEL 41X2	O RING NBR ID41X2 (90°+5)A 
JYF-G30-38	ANEL DA TRAVA DO FILTRO DE ÓLEO	OIL FILTER LOCK RING
17010271	ANEL DE VEDAÇÃO	SEAL RING
	ANEL DE VEDAÇÃO C/GUIA P/VASO SANITARIO	
	ANEL DIN 031X1,20	
	ANEL DIN 472031X1,20	
GB984-1-80	ANEL ELASTICO	CIR CLIP
	ANEL ELASTICO EXTERNO 18MM	
	ANEL ELASTICO EXTERNO 28MM	
	ANEL ELASTICO INTERNO 29MM	
	ANEL ELASTICO INTERNO 32MM	
11130870250	ANEL -O ID 39X2	O RING ID39X2
11130865010	ANEL-O	O RING 
11130855080	ANEL-O ID 62X2	O RING ID62X2
14243300420	ANG. I/P MOD O-10VDC/4(0)-20MA 12BIT 4CH (X20-AI-4622)	ANG. I/P MOD O-10VDC/4(0)-20mA 12BIT 4CH (X20-AI-4622)
14253300420	ANG. O/P MOD O-10VDC/4(0)-20MA 12BIT 4CH 	
11406354010	ANGULO DA MOLA	SPRING ANGLE
11157076300	APANHADOR DE FITA	TAPE CATCHER
	AQUECEDEOR INFRAVERMELHO	
	AQUECEDOR DE CILINDRO ABERTO	
	AR LI ZB 1/4"	
	ARAME DE DESARME COM OLHAL	
11158254400	ARAME DE LIÇO	HEILD WIRE (8040)
	ARAME DE LIÇO (8040R)	
	ARAME RECOZIDO	
	ARAME RECOZIDO 1,25MM	
	ARAME RECOZIDO BWG18 1,25MM	
	ARAME RECOZIDO BWG18 1,25MM RL	
	ARCO DE SERRA	
	AREIA 5 M3	
5003854	ARQUIVO MORTO PLASTICO AZUL/VERDE	
	ARROZ BRANCO TIPO 1	
6042A	ARRUELA	
	ARRUELA CONICA	
JYF - C30-14	ARRUELA DA LEVA	CAM WASHER
11406361000	ARRUELA DE EIXO EXCENTRICO	WASHER ECCENTRIC AXLE
11164022310	ARRUELA DE ESPUMA COMPOSTA-P(DIA-113MM)	FOAM WASHER COMPOSITE-P (DIA-113MM)
	ARRUELA DE MOLA PRETA	
11157053700	ARRUELA DE POLIA	PULLEY WASHER
	ARRUELA DE PRESSÃO	
	ARRUELA DE PRESSÃO M10	
	ARRUELA DE PRESSÃO M5	
19023201	ARRUELA DE VEDAÇÃO	SEALING WASHER D50
11176102700	ARRUELA DE VEDAÇÃO D52	SEALING WASHER D52
11406373000	ARRUELA DO BLOCO DE ROLAMENTO	WASHER PIN BEARING BLOCK 
	ARRUELA EIXO TRAÇÃO - H55FT	
	ARRUELA GALV LISA 3/8 (10MM)	
	ARRUELA LISA	
	ARRUELA LISA BICROM.A0032 1/2"	
	ARRUELA LISA BRICOMATIZADA 3/8	
	ARRUELA LISA M5	
	ARRUELA LISA M6	
	ARRUELA LISA M8	
	ARRUELA LISA M8X19	
	ARRUELA LISA ZINCADA 1/4"	
	ARRUELA M4X8	
	ARRUELA PRESSÃO BICROMATIZADA 1/2	
